,id,room_id/id,temp,out/in,date,time
190,__export__.temp_log_195629_fe2b9da4,Room Admin,39,0,2018-12-08,06:31:00
191,__export__.temp_log_195624_895f8bec,Room Admin,29,1,2018-12-08,06:30:00
192,__export__.temp_log_195622_231c2bdf,Room Admin,29,1,2018-12-08,06:29:00
193,__export__.temp_log_195614_1148cf83,Room Admin,29,1,2018-12-08,06:25:00
194,__export__.temp_log_195605_b53f739a,Room Admin,29,1,2018-12-08,06:23:00
195,__export__.temp_log_195601_dd0c7ab3,Room Admin,29,1,2018-12-08,06:22:00
196,__export__.temp_log_195598_ad3240b5,Room Admin,29,1,2018-12-08,06:21:00
197,__export__.temp_log_195593_e192d0f3,Room Admin,29,1,2018-12-08,06:21:00
198,__export__.temp_log_195589_ce331dcf,Room Admin,29,1,2018-12-08,06:19:00
199,__export__.temp_log_195583_b22df853,Room Admin,29,1,2018-12-08,06:17:00
200,__export__.temp_log_195581_f56cee93,Room Admin,29,1,2018-12-08,06:16:00
201,__export__.temp_log_195578_2d6785ee,Room Admin,29,1,2018-12-08,06:15:00
202,__export__.temp_log_195574_7d6d296e,Room Admin,39,0,2018-12-08,06:14:00
203,__export__.temp_log_195573_717824ba,Room Admin,29,1,2018-12-08,06:14:00
204,__export__.temp_log_195567_c41391e4,Room Admin,29,1,2018-12-08,06:11:00
205,__export__.temp_log_195564_a98743a4,Room Admin,29,1,2018-12-08,06:11:00
206,__export__.temp_log_195560_e7b66ccd,Room Admin,39,0,2018-12-08,06:09:00
207,__export__.temp_log_195561_012fc08b,Room Admin,29,1,2018-12-08,06:09:00
208,__export__.temp_log_195555_0feeb1cb,Room Admin,29,1,2018-12-08,06:07:00
209,__export__.temp_log_195549_7720b115,Room Admin,29,1,2018-12-08,06:06:00
210,__export__.temp_log_195546_8553cd41,Room Admin,29,1,2018-12-08,06:05:00
211,__export__.temp_log_195538_dd2918d1,Room Admin,38,0,2018-12-08,06:02:00
212,__export__.temp_log_195532_3f1b5fb1,Room Admin,39,0,2018-12-08,06:01:00
213,__export__.temp_log_195531_641454b1,Room Admin,29,1,2018-12-08,06:01:00
214,__export__.temp_log_195525_4c6f82e7,Room Admin,39,0,2018-12-08,05:59:00
215,__export__.temp_log_195524_6d22cf81,Room Admin,29,1,2018-12-08,05:59:00
216,__export__.temp_log_195523_ff5a3f2d,Room Admin,39,0,2018-12-08,05:59:00
217,__export__.temp_log_195520_35e595e6,Room Admin,29,1,2018-12-08,05:59:00
218,__export__.temp_log_195515_446a24b8,Room Admin,38,0,2018-12-08,05:57:00
219,__export__.temp_log_195507_c69cd4c0,Room Admin,39,0,2018-12-08,05:55:00
220,__export__.temp_log_195508_c28f66e6,Room Admin,29,1,2018-12-08,05:55:00
221,__export__.temp_log_195469_b1fcae4e,Room Admin,30,1,2018-12-08,05:43:00
222,__export__.temp_log_195467_bdc3b8d2,Room Admin,30,1,2018-12-08,05:43:00
